,run,wafer,site,value
989,15,6,site6,438.29
990,16,1,site6,427.36
991,16,2,site6,438.11
992,16,3,site6,424.35
993,16,4,site6,412.31
994,16,5,site6,429.28
995,16,6,site6,414.35
996,17,1,site6,461.78
997,17,2,site6,452.13
998,17,3,site6,453.05
999,17,4,site6,461.49
1000,17,5,site6,442.28
1001,17,6,site6,451.88
1002,18,1,site6,427.13
1003,18,2,site6,439.22
1004,18,3,site6,438.86
1005,18,4,site6,396.68
1006,18,5,site6,425.16
1007,18,6,site6,442.05
1008,19,1,site6,461.05
1009,19,2,site6,453.19
1010,19,3,site6,455.44
1011,19,4,site6,459.06
1012,19,5,site6,435.1
1013,19,6,site6,456.24
1014,20,1,site6,449.51
1015,20,2,site6,442.64
1016,20,3,site6,448.96
1017,20,4,site6,410.75
1018,20,5,site6,433.81
1019,20,6,site6,442.26
1020,21,1,site6,431.43
1021,21,2,site6,448.46
1022,21,3,site6,437.45
1023,21,4,site6,439.09
1024,21,5,site6,444.36
1025,21,6,site6,429.49
1026,22,1,site6,422.56
1027,22,2,site6,444.65
1028,22,3,site6,435.84
1029,22,4,site6,435.19
1030,22,5,site6,441.68
1031,22,6,site6,416.28
1032,23,1,site6,443.72
1033,23,2,site6,431.9
1034,23,3,site6,437.6
1035,23,4,site6,441.7
1036,23,5,site6,423.79
1037,23,6,site6,435.56
1038,24,1,site6,418.91
1039,24,2,site6,448.88
1040,24,3,site6,440.49
1041,24,4,site6,439.9
1042,24,5,site6,440.59
1043,24,6,site6,417.14
1044,25,1,site6,424.35
1045,25,2,site6,447.85
1046,25,3,site6,437.54
1047,25,4,site6,430.71
1048,25,5,site6,443.43
1049,25,6,site6,421.7
1050,26,1,site6,454.55
1051,26,2,site6,435.7
1052,26,3,site6,441.14
1053,26,4,site6,445.13
1054,26,5,site6,422.54
1055,26,6,site6,439.54
1056,27,1,site6,448.89
1057,27,2,site6,439.78
1058,27,3,site6,446.56
1059,27,4,site6,429.43
1060,27,5,site6,439.16
1061,27,6,site6,444.05
1062,28,1,site6,432.45
1063,28,2,site6,448.58
1064,28,3,site6,434.41
1065,28,4,site6,437.7
